FO_name;Subj_Name;Col_num;1;2;3
ДВФО;Амурская область;3;0;0;0
ДВФО;Амурская область;4;50;50;0
ДВФО;Еврейская автономная область;3;0;0;0
ДВФО;Еврейская автономная область;4;0;0;0
ДВФО;Забайкальский край;3;0;0;0
ДВФО;Забайкальский край;4;0;0;0
ДВФО;Камчатский край;3;0;0;0
ДВФО;Камчатский край;4;0;0;0
ДВФО;Магаданская область;3;0;0;0
ДВФО;Магаданская область;4;0;0;0
ДВФО;Приморский край;3;200;200;50
ДВФО;Приморский край;4;0;0;0
ДВФО;Республика Бурятия;3;0;0;0
ДВФО;Республика Бурятия;4;0;0;0
ДВФО;Республика Саха (Якутия);3;74;74;0
ДВФО;Республика Саха (Якутия);4;24;24;0
ДВФО;Сахалинская область;3;40;40;15
ДВФО;Сахалинская область;4;12;12;0
ДВФО;Хабаровский край;3;274;188;50
ДВФО;Хабаровский край;4;0;0;0
ДВФО;Чукотский автономный округ;3;0;0;0
ДВФО;Чукотский автономный округ;4;0;0;0
ПФО;Кировская область;3;64;64;60
ПФО;Кировская область;4;0;0;0
ПФО;Нижегородская область;3;200;200;110
ПФО;Нижегородская область;4;0;0;0
ПФО;Оренбургская область;3;132;100;130
ПФО;Оренбургская область;4;0;0;0
ПФО;Пензенская область;3;130;20;70
ПФО;Пензенская область;4;0;0;0
ПФО;Пермский край;3;6;6;40
ПФО;Пермский край;4;0;0;0
ПФО;Республика Башкортостан;3;109;84;60
ПФО;Республика Башкортостан;4;100;100;0
ПФО;Республика Марий Эл;3;4;2;0
ПФО;Республика Марий Эл;4;0;0;0
ПФО;Республика Мордовия;3;32;32;0
ПФО;Республика Мордовия;4;0;0;0
ПФО;Республика Татарстан;3;521;385;102
ПФО;Республика Татарстан;4;369;249;0
ПФО;Самарская область;3;417;272;115
ПФО;Самарская область;4;0;0;0
ПФО;Саратовская область;3;50;50;0
ПФО;Саратовская область;4;0;0;0
ПФО;Удмуртская Республика;3;30;3;106
ПФО;Удмуртская Республика;4;0;0;0
ПФО;Ульяновская область;3;70;70;0
ПФО;Ульяновская область;4;0;0;0
ПФО;Чувашская Республика — Чувашия;3;55;55;50
ПФО;Чувашская Республика — Чувашия;4;0;0;0
СЗФО;Архангельская область;3;32;32;0
СЗФО;Архангельская область;4;0;0;0
СЗФО;Вологодская область;3;91;64;120
СЗФО;Вологодская область;4;0;0;30
СЗФО;Калининградская область;3;28;28;41
СЗФО;Калининградская область;4;0;0;0
СЗФО;Ленинградская область;3;0;0;30
СЗФО;Ленинградская область;4;0;0;0
СЗФО;Мурманская область;3;40;40;0
СЗФО;Мурманская область;4;0;0;0
СЗФО;Ненецкий автономный округ;3;0;0;0
СЗФО;Ненецкий автономный округ;4;0;0;0
СЗФО;Новгородская область;3;0;0;0
СЗФО;Новгородская область;4;0;0;0
СЗФО;Псковская область;3;26;26;0
СЗФО;Псковская область;4;0;0;0
СЗФО;Республика Карелия;3;0;0;70
СЗФО;Республика Карелия;4;0;0;0
СЗФО;Республика Коми;3;60;60;0
СЗФО;Республика Коми;4;30;30;30
СЗФО;Санкт-Петербург;3;609;609;16
СЗФО;Санкт-Петербург;4;25;25;0
СКФО;Кабардино-Балкарская Республика;3;360;360;0
СКФО;Кабардино-Балкарская Республика;4;0;0;0
СКФО;Карачаево-Черкесская Республика;3;0;0;0
СКФО;Карачаево-Черкесская Республика;4;0;0;0
СКФО;Республика Дагестан;3;16;16;0
СКФО;Республика Дагестан;4;0;0;0
СКФО;Республика Ингушетия;3;0;0;0
СКФО;Республика Ингушетия;4;0;0;0
СКФО;Республика Северная Осетия — Алания;3;0;0;0
СКФО;Республика Северная Осетия — Алания;4;0;0;0
СКФО;Ставропольский край;3;124;102;0
СКФО;Ставропольский край;4;0;0;0
СКФО;Чеченская Республика;3;0;0;0
СКФО;Чеченская Республика;4;0;0;0
СФО;Алтайский край;3;135;130;0
СФО;Алтайский край;4;0;0;0
СФО;Иркутская область;3;40;40;122
СФО;Иркутская область;4;16;16;0
СФО;Кемеровская область;3;294;294;10
СФО;Кемеровская область;4;0;0;0
СФО;Красноярский край;3;154;129;132
СФО;Красноярский край;4;0;0;0
СФО;Новосибирская область;3;288;208;64
СФО;Новосибирская область;4;0;0;0
СФО;Омская область;3;180;152;0
СФО;Омская область;4;80;80;0
СФО;Республика Алтай;3;0;0;0
СФО;Республика Алтай;4;0;0;0
СФО;Республика Тыва;3;0;0;0
СФО;Республика Тыва;4;0;0;0
СФО;Республика Хакасия;3;0;0;80
СФО;Республика Хакасия;4;0;0;0
СФО;Томская область;3;71;71;0
СФО;Томская область;4;0;0;0
УФО;Курганская область;3;60;60;0
УФО;Курганская область;4;0;0;0
УФО;Свердловская область;3;373;373;0
УФО;Свердловская область;4;0;0;36
УФО;Тюменская область;3;701;619;0
УФО;Тюменская область;4;250;250;0
УФО;Ханты-Мансийский автономный округ — Югра;3;220;220;0
УФО;Ханты-Мансийский автономный округ — Югра;4;87;87;0
